Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.093495,0.094111,0.17099,0,0,0,0.11353,0.0002007,-9.7266E-06,4.5129E-19,0.00047883,-1.7537E-21,0.00030078,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/base_link.STL,255,165,0,1,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/base_link.STL,,PBL DIY Robot-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Base_upper,-0.00023228,0.0015,2.7756E-17,0,0,0,0.072243,7.9419E-05,7.2901E-21,2.2789E-19,0.00035752,-3.7269E-21,0.00027821,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/Base_upper.STL,255,165,0,1,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/Base_upper.STL,,PBL DIY Robot_part1-1,Origin_Base_upper_joint,,Base_upper_joint,fixed,0.10092,-0.17099,0.13642,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
spacer1,8.3267E-17,-0.017,-2.7756E-17,0,0,0,0.0038202,7.5881E-07,4.9502E-23,0,5.1484E-08,-2.6834E-23,7.5881E-07,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/spacer1.STL,139,64,0,1,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/spacer1.STL,,PBL DIY Robot_part2-8,Origin_spacer1_joint,Axis_spacer1_joint,spacer1_joint,continuous,0.084615,0,-0.055,0,0.33559,0,Base_upper,0,1,0,,,,,,,,,,,,
spacer2,1.3878E-16,-0.017,5.5511E-17,0,0,0,0.0038202,7.5881E-07,3.3914E-23,0,5.1484E-08,-2.2598E-23,7.5881E-07,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/spacer2.STL,139,64,0,1,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/spacer2.STL,,PBL DIY Robot_part2-2,Origin_spacer2_joint,Axis_spacer2_joint,spacer2_joint,continuous,0.084615,0,0.055,0,0.33674,0,Base_upper,0,1,0,,,,,,,,,,,,
spacer3,0,-0.017,0,0,0,0,0.0038202,7.5881E-07,2.3253E-23,0,5.1484E-08,-1.7306E-23,7.5881E-07,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/spacer3.STL,139,64,0,1,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/spacer3.STL,,PBL DIY Robot_part2-5,Origin_spacer3_joint,Axis_spacer3_joint,spacer3_joint,continuous,-0.084615,0,-0.055,0,0.33674,0,Base_upper,0,1,0,,,,,,,,,,,,
spacer4,-2.4286E-17,-0.017,2.7756E-17,0,0,0,0.0038202,7.5881E-07,1.4302E-23,0,5.1484E-08,3.294E-24,7.5881E-07,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/spacer4.STL,139,64,0,1,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/spacer4.STL,,PBL DIY Robot_part2-1,Origin_spacer4_joint,Axis_spacer4_joint,spacer4_joint,continuous,-0.084615,0,0.055,0,0.14715,0,Base_upper,0,1,0,,,,,,,,,,,,
Lidar,-0.010012,-1.8596E-15,-0.015783,0,0,0,0.032124,6.0421E-06,-8.4683E-20,8.0983E-21,1.7716E-05,2.0381E-21,2.1195E-05,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/Lidar.STL,0,0,255,1,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/Lidar.STL,,Lidar-1,Origin_Lidar_joint,,Lidar_joint,fixed,-0.039725,0.04948,0,1.5708,0,-3.1416,Base_upper,0,0,0,,,,,,,,,,,,
Wheel1,0,-1.3878E-17,0.0125,0,0,0,0.075104,2.5621E-05,-2.9995E-39,-4.4116E-23,2.5621E-05,-7.1293E-38,4.3419E-05,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/Wheel1.STL,2551,255,0,1,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/Wheel1.STL,,PBL DIY Robot_part3-2,Origin_Wheel1_joint,Axis_Wheel1_joint,Wheel1_joint,continuous,0.080916,-0.090994,0.079422,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
Wheel2,0,0,0.0125,0,0,0,0.075104,2.5621E-05,-2.9995E-39,-5.4594E-37,2.5621E-05,-7.1293E-38,4.3419E-05,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/Wheel2.STL,255,255,0,1,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/Wheel2.STL,,PBL DIY Robot_part3-1,Origin_Wheel2_joint,Axis_Wheel2_joint,Wheel2_joint,continuous,0.080916,-0.22599,0.079422,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
Caster Wheel Base,0.017052,0.003709,-0.0125,0,0,0,0.044833,4.8267E-06,-4.6606E-24,-5.0406E-22,9.3882E-06,-4.8531E-22,4.8267E-06,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/Caster Wheel Base.STL,128,128,128,1,0,0,0,0,0,0,package://PBL_DIY_Robot_V0.1.screen/meshes/Caster Wheel Base.STL,,caster wheel assembly-1/masa base-1,Origin_Caster Wheel Base_joint,,Caster Wheel Base_joint,fixed,0.15791,-0.18349,0.093422,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
